InductedToHallOfFame,OnHallOfFameBallot,FullPlayerName,YearsPlayed,AB,R,H,Doubles,Triples,HR,RBI,SB,BattingAverage,SluggingPct,AllStarAppearances,TB,TotalPlayerAwards,LastYearPlayed,ID
FALSE,FALSE,Tommy Tucker,13,6482,1084,1882,240,85,42,932,352,.290,.373,0,2418,0,1899,tucketo01
FALSE,FALSE,Gerald Williams,14,3059,474,780,183,18,85,365,106,.255,.410,0,1254,0,2005,willige02
FALSE,FALSE,Jason McDonald,4,692,113,167,27,5,11,51,33,.241,.342,0,237,0,2000,mcdonja02
FALSE,FALSE,Dan McGann,12,5226,842,1482,181,100,42,727,282,.284,.381,0,1989,0,1908,mcganda01
FALSE,FALSE,Milt Galatzer,5,717,105,192,25,7,1,57,10,.268,.326,0,234,0,1939,galatmi01
FALSE,FALSE,Ruben Gotay,4,726,84,185,38,5,12,77,6,.255,.371,0,269,0,2008,gotayru01
FALSE,FALSE,Gerald Perry,13,3144,383,832,150,11,59,396,142,.265,.376,1,1181,0,1995,perryge01
FALSE,FALSE,Hank Schenz,6,538,70,133,22,3,2,24,6,.247,.310,0,167,0,1951,schenha01
FALSE,FALSE,Ralph Hodgin,6,1689,198,481,79,24,4,188,7,.285,.367,0,620,0,1948,hodgira01
FALSE,FALSE,George Townsend,4,541,60,101,18,5,0,53,16,.187,.238,0,129,0,1891,townsge01
FALSE,FALSE,Doug Clemens,9,920,99,211,34,7,12,88,6,.229,.321,0,295,0,1968,clemedo01
FALSE,FALSE,Billy Lush,7,1722,294,429,49,35,8,152,84,.249,.332,0,572,0,1904,lushbi01
FALSE,FALSE,Mike Goliat,4,825,87,186,21,10,20,99,3,.225,.348,0,287,0,1952,goliami01
FALSE,FALSE,Ryan Hanigan,11,1959,192,492,71,1,30,214,1,.251,.334,0,655,0,2017,hanigry01
FALSE,FALSE,Ray Murray,6,731,69,184,37,6,8,80,1,.252,.352,0,257,0,1954,murrara01
FALSE,FALSE,Willie Kirkland,9,3494,443,837,134,29,148,509,52,.240,.422,0,1473,0,1966,kirklwi01
FALSE,FALSE,Socks Seybold,9,3685,478,1085,218,54,51,556,66,.294,.424,0,1564,0,1908,seyboso01
FALSE,FALSE,Al Pilarcik,6,1614,205,413,66,7,22,143,41,.256,.346,0,559,0,1961,pilaral01
FALSE,FALSE,Mickey Brantley,4,1138,154,295,56,8,32,125,34,.259,.407,0,463,0,1989,brantmi01
FALSE,FALSE,Ike Eichrodt,4,516,51,121,34,5,0,51,3,.234,.320,0,165,0,1931,eichrik01
FALSE,FALSE,Frank Thomas,16,6285,792,1671,262,31,286,962,15,.266,.454,3,2853,1,1966,thomafr03
FALSE,FALSE,Eddie Murphy,11,2373,411,680,66,32,4,195,111,.287,.346,0,822,0,1926,murphed02
FALSE,FALSE,Jose Macias,7,1646,201,422,77,17,26,173,43,.256,.371,0,611,0,2005,maciajo01
FALSE,FALSE,Ronny Paulino,8,1867,181,508,93,1,33,216,4,.272,.376,0,702,0,2012,pauliro01
FALSE,FALSE,Mike Redmond,13,2264,208,649,117,3,13,243,1,.287,.358,0,811,0,2010,redmomi01
FALSE,FALSE,Ivan Calderon,10,3312,470,901,200,25,104,444,97,.272,.442,1,1463,0,1993,caldeiv01
FALSE,FALSE,Bob Addis,4,534,70,150,22,2,2,47,8,.281,.341,0,182,0,1953,addisbo01
FALSE,FALSE,Joe Collins,10,2329,404,596,79,24,86,329,27,.256,.421,0,981,0,1957,collijo01
FALSE,FALSE,Dick Buckley,8,1833,213,449,72,14,26,216,25,.245,.342,0,627,0,1895,buckldi01
FALSE,FALSE,Dave Hilton,4,506,40,108,19,3,6,33,6,.213,.298,0,151,0,1975,hiltoda01
