InductedToHallOfFame,OnHallOfFameBallot,FullPlayerName,YearsPlayed,AB,R,H,2B,3B,HR,RBI,SB,BattingAverage,SluggingPct,AllStarAppearances,MVPs,TripleCrowns,GoldGloves,MajorLeaguePlayerOfTheYearAwards,TB,LastYearPlayed,ID
FALSE,FALSE,Eddie Silber,2,84,10,26,2,0,0,4,0,0.30952380952380953,0.33333333333333337,0,0,0,0,0,30,1939,2091
FALSE,FALSE,Jim Shilling,1,131,11,37,8,5,0,16,1,0.28244274809160302,0.41984732824427479,0,0,0,0,0,68,1939,2094
FALSE,FALSE,Nolen Richardson,6,473,39,117,19,5,0,45,8,0.24735729386892175,0.30866807610993657,0,0,0,0,0,170,1939,2097
FALSE,FALSE,Johnny Watwood,6,1423,192,403,66,16,5,158,27,0.28320449754040761,0.36261419536191147,0,0,0,0,0,603,1939,2100
FALSE,FALSE,Oliver Hill,1,2,1,1,1,0,0,0,0,0.5,1,0,0,0,0,0,3,1939,2103
FALSE,FALSE,Red Juelich,1,46,5,11,0,2,0,4,0,0.2391304347826087,0.32608695652173914,0,0,0,0,0,17,1939,2106
FALSE,FALSE,Lynn King,3,207,28,43,4,1,0,21,6,0.2077294685990338,0.23671497584541062,0,0,0,0,0,54,1939,2109
FALSE,FALSE,Elmer Gedeon,1,15,1,3,0,0,0,1,0,0.20000000000000001,0.20000000000000001,0,0,0,0,0,3,1939,2112
FALSE,FALSE,Johnny Echols,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1939,2115
FALSE,FALSE,Milt Galatzer,5,717,105,192,25,7,1,57,10,0.26778242677824265,0.32635983263598328,0,0,0,0,0,267,1939,2118
FALSE,FALSE,Mel Almada,7,2483,363,706,107,27,15,197,56,0.28433346757954087,0.36729762384212644,0,0,0,0,0,1061,1939,2121
FALSE,FALSE,Herb Bremer,3,193,16,41,6,1,2,18,1,0.21243523316062177,0.28497409326424872,0,0,0,0,0,64,1939,2124
FALSE,FALSE,Nino Bongiovanni,2,166,17,43,7,0,0,16,0,0.25903614457831325,0.3012048192771084,0,0,0,0,0,57,1939,2127
FALSE,FALSE,Dave Coble,1,25,2,7,1,0,0,0,0,0.28000000000000003,0.32000000000000001,0,0,0,0,0,9,1939,2130
FALSE,FALSE,Del Young,4,950,87,213,31,7,3,76,7,0.22421052631578947,0.28105263157894739,0,0,0,0,0,308,1940,2133
FALSE,FALSE,Zeke Bonura,7,3582,600,1099,232,29,119,704,19,0.30681183696259073,0.48743718592964824,0,0,0,0,0,2126,1940,2136
FALSE,FALSE,Bill Atwood,5,961,82,220,41,4,7,112,4,0.22892819979188345,0.30176899063475549,0,0,0,0,0,342,1940,2139
FALSE,FALSE,Joe Gallagher,2,487,73,133,26,5,16,73,4,0.2731006160164271,0.44558521560574949,0,0,0,0,0,264,1940,2142
FALSE,FALSE,Joe Gantenbein,2,545,68,148,20,6,8,59,2,0.2715596330275229,0.37431192660550455,0,0,0,0,0,238,1940,2145
FALSE,FALSE,Red Jones,1,11,0,1,0,0,0,1,0,9.0909090909090912E-2,9.0909090909090912E-2,0,0,0,0,0,1,1940,2148
FALSE,FALSE,Buddy Hancken,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1940,2151
FALSE,TRUE,Jimmie Wilson,18,4778,580,1358,252,32,32,621,86,0.28421933863541232,0.37044788614483048,2,0,0,0,0,2086,1940,2154
FALSE,FALSE,Neb Stewart,1,31,3,4,0,0,0,0,0,0.12903225806451613,0.12903225806451613,0,0,0,0,0,4,1940,2157
FALSE,FALSE,Bob Seeds,9,1937,268,537,77,21,28,233,14,0.27723283427981416,0.38203407330924111,0,0,0,0,0,866,1940,2160
FALSE,FALSE,Ham Schulte,1,436,44,103,18,2,1,21,3,0.23623853211009171,0.29357798165137611,0,0,0,0,0,149,1940,2163
FALSE,FALSE,Bill Lillard,2,225,30,55,9,2,1,22,0,0.24444444444444446,0.31555555555555553,0,0,0,0,0,83,1940,2166
FALSE,FALSE,Bob Loane,2,31,6,5,3,0,0,2,2,0.16129032258064518,0.25806451612903225,0,0,0,0,0,11,1940,2169
FALSE,FALSE,Marv Owen,9,3782,473,1040,167,44,31,497,30,0.27498677948175571,0.36700158646218933,0,0,0,0,0,1630,1940,2172
FALSE,FALSE,Mel Preibisch,2,44,3,9,2,0,0,5,0,0.20454545454545453,0.25,0,0,0,0,0,13,1941,2175
FALSE,FALSE,Buddy Myer,17,7038,1174,2131,353,130,38,850,156,0.30278488206876952,0.4060812730889457,2,0,0,0,0,3379,1941,2178
FALSE,FALSE,Barney Olsen,1,73,13,21,6,1,1,4,0,0.28767123287671237,0.43835616438356162,0,0,0,0,0,40,1941,2181
FALSE,FALSE,Joe Marty,5,1832,223,478,78,22,44,222,14,0.26091703056768556,0.39956331877729262,0,0,0,0,0,876,1941,2184
FALSE,FALSE,Wally Millies,6,651,60,158,20,3,0,65,2,0.24270353302611369,0.28264208909370198,0,0,0,0,0,207,1941,2187
FALSE,FALSE,Bill Harman,1,14,1,1,0,0,0,0,0,7.1428571428571425E-2,7.1428571428571425E-2,0,0,0,0,0,1,1941,2190
FALSE,FALSE,George Jumonville,2,41,1,6,0,0,1,2,0,0.14634146341463414,0.21951219512195122,0,0,0,0,0,10,1941,2193
FALSE,FALSE,Odell Hale,10,3701,551,1071,240,51,73,573,57,0.28938124831126721,0.44096190218859765,0,0,0,0,0,1996,1941,2196
